               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  97,            0.029664,            0.033912,          0.00073193,             0.95023,             0.91756,             0.93641,             0.62268,            0.027226,            0.033049,          0.00067463,           0.0079112,           0.0079112,           0.0079112
                  98,            0.029725,            0.035055,          0.00077661,              0.9253,             0.94902,             0.94887,             0.62975,            0.027979,            0.031023,          0.00080017,           0.0078713,           0.0078713,           0.0078713
                  99,            0.028976,            0.035223,          0.00079249,             0.97184,             0.93402,             0.95839,             0.66044,            0.026479,            0.030516,          0.00070176,           0.0078311,           0.0078311,           0.0078311
                 100,            0.028575,             0.03262,          0.00078664,             0.95703,             0.91097,             0.93755,             0.61861,            0.026717,            0.031631,          0.00076755,           0.0077907,           0.0077907,           0.0077907
                 101,            0.027938,            0.033855,          0.00067075,             0.91001,             0.87295,             0.89134,             0.58897,            0.027553,              0.0326,          0.00063159,             0.00775,             0.00775,             0.00775
                 102,            0.029989,            0.033097,          0.00067307,             0.94228,             0.89964,             0.94021,             0.62531,            0.027735,            0.031466,          0.00070256,           0.0077091,           0.0077091,           0.0077091
                 103,            0.027723,            0.032012,          0.00077234,             0.98729,             0.89242,             0.97077,             0.64954,            0.026463,            0.030951,          0.00060066,           0.0076679,           0.0076679,           0.0076679
                 104,            0.029361,            0.034022,          0.00070435,             0.97474,             0.95988,             0.98766,             0.66662,            0.026235,            0.030524,          0.00069253,           0.0076265,           0.0076265,           0.0076265
                 105,            0.028199,            0.034642,          0.00071942,             0.94358,             0.92832,             0.94985,             0.65199,            0.026249,            0.030005,          0.00061303,           0.0075848,           0.0075848,           0.0075848
                 106,            0.026857,            0.031528,          0.00060447,             0.93342,             0.91274,             0.94642,             0.66809,            0.027154,            0.032043,          0.00056484,            0.007543,            0.007543,            0.007543
                 107,            0.027313,            0.033111,          0.00065864,             0.96838,             0.95104,             0.97543,             0.64301,            0.026398,            0.030597,          0.00063251,           0.0075009,           0.0075009,           0.0075009
                 108,            0.028166,            0.033224,           0.0006297,             0.96452,             0.93548,             0.96547,             0.62693,            0.028028,            0.033783,          0.00066552,           0.0074585,           0.0074585,           0.0074585
                 109,            0.028916,            0.033778,          0.00073636,             0.97025,             0.93303,             0.96638,             0.66866,            0.026249,            0.031227,          0.00067601,            0.007416,            0.007416,            0.007416
                 110,            0.027212,            0.032527,          0.00062397,             0.98067,             0.94075,             0.97593,             0.67572,            0.027256,            0.031178,          0.00060095,           0.0073733,           0.0073733,           0.0073733
                 111,            0.027313,            0.033047,           0.0005602,             0.97025,             0.96717,             0.97421,              0.6638,            0.026194,            0.031082,          0.00056979,           0.0073303,           0.0073303,           0.0073303
                 112,            0.028255,            0.034224,          0.00063141,             0.98732,              0.8686,              0.9104,             0.63442,            0.028557,            0.032188,          0.00066554,           0.0072872,           0.0072872,           0.0072872
                 113,             0.02796,            0.032991,          0.00061486,             0.98659,             0.90798,             0.98318,             0.67428,            0.025992,            0.031009,          0.00080542,           0.0072438,           0.0072438,           0.0072438
                 114,            0.028173,            0.032394,          0.00066949,             0.95826,             0.92615,              0.9438,             0.65734,            0.025952,            0.030706,          0.00064621,           0.0072003,           0.0072003,           0.0072003
                 115,            0.027211,             0.03125,          0.00058278,             0.97554,              0.9466,             0.97107,              0.6611,             0.02718,            0.033027,          0.00053548,           0.0071566,           0.0071566,           0.0071566
                 116,            0.027612,            0.031979,          0.00055665,             0.96713,             0.92396,             0.95811,             0.67151,            0.026343,            0.031419,          0.00059572,           0.0071127,           0.0071127,           0.0071127
                 117,            0.027703,             0.03391,          0.00063502,             0.94864,             0.87771,              0.9454,             0.65315,            0.026548,            0.030918,          0.00057127,           0.0070686,           0.0070686,           0.0070686
                 118,            0.026493,            0.031764,          0.00058872,             0.97897,             0.87449,             0.93504,             0.63878,            0.027897,            0.031811,          0.00053576,           0.0070243,           0.0070243,           0.0070243
                 119,            0.027073,            0.032489,          0.00054842,             0.96498,             0.92121,             0.95532,             0.65224,            0.026326,            0.030422,          0.00053668,           0.0069799,           0.0069799,           0.0069799
                 120,            0.026697,            0.030968,          0.00058248,             0.95926,             0.94753,             0.97147,             0.67045,            0.026384,            0.030567,          0.00056309,           0.0069353,           0.0069353,           0.0069353
                 121,            0.025809,            0.031378,          0.00057403,              0.9962,             0.91535,             0.95755,             0.66776,            0.025372,            0.030449,           0.0005212,           0.0068906,           0.0068906,           0.0068906
                 122,            0.026489,            0.032359,          0.00051873,             0.96195,             0.92443,             0.94482,             0.64589,            0.027885,            0.032769,          0.00052294,           0.0068457,           0.0068457,           0.0068457
